,username,fullname,followers,profile_link,biography
147,"
              telltheravendesigns
            ","
              TTR Designs
            ","
                  57
                ",https://www.instagram.com/telltheravendesigns,"
              Graphic Design, Web Design, Social Media, Video Editing, Illustrations, Merchandise Design, Corporate Design, Logo Design
            "
148,"
              ellenbloo
            ","
              Ellen Bloo
            ","
                  427
                ",https://www.instagram.com/ellenbloo,"
              ▫ SPATIAL DESIGNER
        ▪ FASHION DESIGN STUDENT
            "
149,"
              design_denmark
            ","
              Design denmark
            ","
                  2.8k
                ",https://www.instagram.com/design_denmark,"
              Design denmark is an alliance of designers, design thinkers and design businesses, working to promote design in business and society.
            "
150,"
              rashidfalcon1496
            ","
              Mohd Rashid Retoucher
            ","
                  236
                ",https://www.instagram.com/rashidfalcon1496,"
              Retoucher • Magazine Designer • Graphic Designer
            "
151,"
              mojgandadgarstudio
            ","
              Mojgan Dadgar Design Studio
            ","
                  467
                ",https://www.instagram.com/mojgandadgarstudio,"
              Design In A Creative Way, Design Simple.
            "
152,"
              laurie.bergeron
            ","
              Laurie Bergeron
            ","
                  226
                ",https://www.instagram.com/laurie.bergeron,"
              interior design | event design | crazycatlady
            "
153,"
              casamanu_catering
            ","
              Casamanu Catering
            ","
                  627
                ",https://www.instagram.com/casamanu_catering,"
              Catering food design interior design
            "
154,"
              wade_snook
            ","
              Wade Snook
            ","
                  219
                ",https://www.instagram.com/wade_snook,"
              Graphic Designer / ArtDirector / Apparel Design
            "
155,"
              lasundesign
            ","
              L A S U N
            ","
                  1.0k
                ",https://www.instagram.com/lasundesign,"
              #design #fashion #designer #style #photoshoots
            "
156,"
              chen_bingjing
            ","
              Bingjing Chen
            ","
                  74
                ",https://www.instagram.com/chen_bingjing,"
              Fashion designer/ Stylist/ Millinary designer
            "
157,"
              hi.tapestry
            ","
              Paz Moreno
            ","
                  362
                ",https://www.instagram.com/hi.tapestry,"
              *Textile Design * Interior Design * Art*
            "
158,"
              anotherdimensiongroup
            ","
              Another Dimension Group P/L
            ","
                  150
                ",https://www.instagram.com/anotherdimensiongroup,"
              Building Designers / Product Designers / Visualisation
            "
159,"
              antonellaargenti
            ","
              Antonella Argenti
            ","
                  145
                ",https://www.instagram.com/antonellaargenti,"
              Sound designer.                                       Interior designer.                                            Patchworker.
            "
160,"
              check_hunter
            ","
              Paul Vogel
            ","
                  798
                ",https://www.instagram.com/check_hunter,"
              Textile designer - specialising in woven design.
            "
161,"
              matteo_nunziati
            ","
              Matteo Nunziati
            ","
                  3.8k
                ",https://www.instagram.com/matteo_nunziati,"
              Interior design, architecture, product design
            "
162,"
              snoozeberlin
            ","
              Suse
            ","
                  980
                ",https://www.instagram.com/snoozeberlin,"
              Design, Dogs & Berlin
        Graphic Designer
            "
163,"
              stephaneparmentier
            ","
              Stéphane Parmentier
            ","
                  3.3k
                ",https://www.instagram.com/stephaneparmentier,"
              Designer, interior designer and creative director
            "
164,"
              djdenny56
            ","
              Sean Denny
            ","
                  355
                ",https://www.instagram.com/djdenny56,"
              Event Design || Lighting Design || Life
            "
165,"
              evajackevajack
            ","
              Eva Jack
            ","
                  468
                ",https://www.instagram.com/evajackevajack,"
              Social Designer at Design Academy Eindhoven
            "
166,"
              judithbech
            ","
              Judith Bech
            ","
                  1.4k
                ",https://www.instagram.com/judithbech,"
              Owner and designer of Judith Bech design
            "
167,"
              derik_ale
            ","
              Erik Dale
            ","
                  428
                ",https://www.instagram.com/derik_ale,"
              Freelance designer.
        Graphic designer for @massivestudios
            "
168,"
              itachi_nal
            ","
              PhaniTeja Nallam
            ","
                  322
                ",https://www.instagram.com/itachi_nal,"
              Architect, graphic designer, UX designer
            "
169,"
              surrealisticsam
            ","
              Samuel Bonnet
            ","
                  153
                ",https://www.instagram.com/surrealisticsam,"
              Graphic Designer | Web Designer | London
            "
170,"
              magdapilka
            ","
              Magda Pilaczyńska
            ","
                  145
                ",https://www.instagram.com/magdapilka,"
              graphic designer, illustrator and ceramic designer
            "
